,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
41,jarrett allen,Atlanta Hawks,31.425,14.1,10.1,1.9,24.2,16.0,12.0,26.1
22,evan mobley,Atlanta Hawks,34.58,15.0,7.9,2.3,22.9,17.3,10.2,25.200000000000003
14,darius garland,Atlanta Hawks,35.46,20.7,3.3,8.6,24.0,29.299999999999997,11.899999999999999,32.599999999999994
54,isaac okoro,Atlanta Hawks,28.435000000000002,7.2,3.3,1.4,10.5,8.6,4.699999999999999,11.899999999999999
77,kevin love,Atlanta Hawks,23.46,15.5,7.6,2.3,23.1,17.8,9.899999999999999,25.4
84,dean wade,Atlanta Hawks,20.585,4.8,3.2,1.0,8.0,5.8,4.2,9.0
47,caris levert,Atlanta Hawks,31.425,21.2,3.4,4.5,24.599999999999998,25.7,7.9,29.099999999999998
34,joel embiid,Boston Celtics,32.415,25.3,10.9,3.8,36.2,29.1,14.7,40.0
27,tyrese maxey,Boston Celtics,33.415,13.5,2.8,3.6,16.3,17.1,6.4,19.900000000000002
10,tobias harris,Boston Celtics,35.41,17.1,7.1,3.3,24.200000000000003,20.400000000000002,10.399999999999999,27.5
69,georges niang,Boston Celtics,24.48,9.2,2.8,1.3,12.0,10.5,4.1,13.3
46,matisse thybulle,Boston Celtics,31.475,7.3,2.8,1.0,10.1,8.3,3.8,11.100000000000001
55,danny green,Boston Celtics,27.43,6.7,3.1,0.8,9.8,7.5,3.9000000000000004,10.6
52,patrick beverley,Charlotte Hornets,28.42,9.1,4.1,6.1,13.2,15.2,10.2,19.299999999999997
29,karl-anthony towns,Charlotte Hornets,33.405,25.6,10.6,3.5,36.2,29.1,14.1,39.7
59,jarred vanderbilt,Charlotte Hornets,26.42,6.8,9.7,1.4,16.5,8.2,11.1,17.9
26,anthony edwards,Charlotte Hornets,33.905,23.2,4.1,3.7,27.299999999999997,26.9,7.8,31.0
42,d'angelo russell,Charlotte Hornets,31.415,18.9,3.2,6.8,22.099999999999998,25.7,10.0,28.9
38,bogdan bogdanovic,Cleveland Cavaliers,32.480000000000004,14.2,3.9,3.3,18.099999999999998,17.5,7.199999999999999,21.4
44,kevin huerter,Cleveland Cavaliers,31.48,11.2,2.5,3.1,13.7,14.299999999999999,5.6,16.799999999999997
7,de'andre hunter,Cleveland Cavaliers,35.480000000000004,14.5,3.7,1.2,18.2,15.7,4.9,19.4
61,clint capela,Cleveland Cavaliers,26.485,8.6,12.3,1.0,20.9,9.6,13.3,21.9
65,danilo gallinari,Cleveland Cavaliers,25.485,10.5,4.4,1.2,14.9,11.7,5.6000000000000005,16.1
8,trae young,Cleveland Cavaliers,35.46,26.2,3.6,8.9,29.8,35.1,12.5,38.7
87,max strus,Dallas Mavericks,20.41,7.3,2.7,1.1,10.0,8.4,3.8000000000000003,11.100000000000001
83,caleb martin,Dallas Mavericks,21.41,7.5,3.2,0.7,10.7,8.2,3.9000000000000004,11.399999999999999
53,p.j. tucker,Dallas Mavericks,28.380000000000003,7.2,5.5,1.5,12.7,8.7,7.0,14.2
28,kyle lowry,Dallas Mavericks,33.85,11.2,3.8,7.1,15.0,18.299999999999997,10.899999999999999,22.099999999999998
19,jimmy butler,Dallas Mavericks,34.825,22.5,5.9,5.6,28.4,28.1,11.5,34.0
25,bam adebayo,Dallas Mavericks,33.355000000000004,19.1,9.5,3.6,28.6,22.700000000000003,13.1,32.2
66,duncan robinson,Dallas Mavericks,25.39,9.1,2.8,1.2,11.899999999999999,10.299999999999999,4.0,13.099999999999998
72,gabe vincent,Dallas Mavericks,24.395,7.6,1.7,2.7,9.299999999999999,10.3,4.4,12.0
18,jrue holiday,Indiana Pacers,33.58,18.7,4.9,6.2,23.6,24.9,11.100000000000001,29.799999999999997
31,grayson allen,Indiana Pacers,32.535,12.5,3.9,1.0,16.4,13.5,4.9,17.4
80,lindell wigginton,Indiana Pacers,22.025,7.3,0.1,0.0,7.3999999999999995,7.3,0.1,7.3999999999999995
33,bobby portis,Indiana Pacers,32.59,17.7,10.6,1.2,28.299999999999997,18.9,11.799999999999999,29.5
82,jordan nwora,Indiana Pacers,21.025,9.0,3.7,0.9,12.7,9.9,4.6000000000000005,13.600000000000001
13,khris middleton,Indiana Pacers,34.54,24.6,5.5,5.5,30.1,30.1,11.0,35.6
20,giannis antetokounmpo,Indiana Pacers,33.54,27.0,9.7,4.9,36.7,31.9,14.6,41.599999999999994
81,cameron johnson,Los Angeles Clippers,21.939999999999998,8.9,3.5,0.9,12.4,9.8,4.4,13.3
0,mikal bridges,Los Angeles Clippers,37.44,15.6,5.0,2.0,20.6,17.6,7.0,22.6
89,jae crowder,Los Angeles Clippers,20.5,5.2,3.5,0.7,8.7,5.9,4.2,9.4
5,chris paul,Los Angeles Clippers,34.41,17.0,5.1,11.2,22.1,28.2,16.299999999999997,33.3
2,devin booker,Los Angeles Clippers,36.8,23.8,5.8,4.4,29.6,28.200000000000003,10.2,34.0
35,deandre ayton,Los Angeles Clippers,31.485,20.9,12.3,1.5,33.2,22.4,13.8,34.7
17,cj mccollum,Memphis Grizzlies,34.45,19.4,3.8,4.9,23.2,24.299999999999997,8.7,28.099999999999998
58,devonte' graham,Memphis Grizzlies,27.46,11.8,2.3,4.0,14.100000000000001,15.8,6.3,18.1
16,brandon ingram,Memphis Grizzlies,34.45,21.2,5.2,4.4,26.4,25.6,9.600000000000001,30.8
86,jaxson hayes,Memphis Grizzlies,20.47,9.2,3.8,0.0,13.0,9.2,3.8,13.0
43,jonas valanciunas,Memphis Grizzlies,31.45,17.1,10.2,2.8,27.3,19.900000000000002,13.0,30.1
