,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
128,mo bamba,Atlanta Hawks,21.505000000000003,7.3,6.1,0.9,13.399999999999999,8.2,7.0,14.299999999999999
42,cole anthony,Atlanta Hawks,33.489999999999995,16.7,5.4,6.6,22.1,23.299999999999997,12.0,28.699999999999996
98,chuma okeke,Atlanta Hawks,25.509999999999998,8.9,4.3,1.3,13.2,10.200000000000001,5.6,14.5
89,gary harris,Atlanta Hawks,27.509999999999998,11.3,1.6,1.5,12.9,12.8,3.1,14.4
48,wendell carter jr.,Atlanta Hawks,32.489999999999995,15.0,10.6,3.0,25.6,18.0,13.6,28.6
59,jalen suggs,Atlanta Hawks,31.490000000000002,13.9,3.7,5.0,17.6,18.9,8.7,22.599999999999998
57,franz wagner,Atlanta Hawks,31.490000000000002,14.0,4.3,2.3,18.3,16.3,6.6,20.6
70,cade cunningham,Boston Celtics,30.365000000000002,14.6,5.0,4.0,19.6,18.6,9.0,23.6
130,marvin bagley iii,Boston Celtics,21.310000000000002,8.1,7.4,-0.0,15.5,8.1,7.4,15.5
120,killian hayes,Boston Celtics,22.27,4.8,2.1,3.0,6.9,7.8,5.1,9.9
47,saddiq bey,Boston Celtics,32.45,11.9,5.0,2.0,16.9,13.9,7.0,18.9
107,cory joseph,Boston Celtics,24.295,6.7,2.3,3.2,9.0,9.9,5.5,12.2
80,isaiah stewart,Boston Celtics,29.355,7.2,10.1,0.9,17.3,8.1,11.0,18.2
62,jerami grant,Boston Celtics,31.435000000000002,17.7,4.3,2.3,22.0,20.0,6.6,24.3
86,mitchell robinson,Brooklyn Nets,28.43,8.5,8.9,0.0,17.4,8.5,8.9,17.4
111,kemba walker,Brooklyn Nets,23.445,8.6,2.7,2.6,11.3,11.2,5.300000000000001,13.899999999999999
114,alec burks,Brooklyn Nets,23.445,10.9,4.1,2.2,15.0,13.100000000000001,6.3,17.200000000000003
34,quentin grimes,Brooklyn Nets,33.42,9.5,3.8,-0.0,13.3,9.5,3.8,13.3
32,evan fournier,Brooklyn Nets,33.42,18.0,3.2,2.0,21.2,20.0,5.2,23.2
0,julius randle,Brooklyn Nets,38.41,23.6,11.7,6.1,35.3,29.700000000000003,17.799999999999997,41.400000000000006
126,maurice harkless,Chicago Bulls,21.345,5.3,2.3,0.0,7.6,5.3,2.3,7.6
56,harrison barnes,Chicago Bulls,31.52,16.7,5.9,2.5,22.6,19.2,8.4,25.1
88,justin holiday,Chicago Bulls,27.28,9.4,2.0,1.6,11.4,11.0,3.6,13.0
115,davion mitchell,Chicago Bulls,23.244999999999997,8.7,1.8,3.1,10.5,11.799999999999999,4.9,13.6
28,domantas sabonis,Chicago Bulls,34.415,19.8,12.2,6.0,32.0,25.8,18.2,38.0
29,de'aaron fox,Chicago Bulls,34.415,21.2,3.6,5.2,24.8,26.4,8.8,30.0
43,andrew wiggins,Denver Nuggets,33.765,17.6,4.2,2.2,21.8,19.8,6.4,24.0
92,jonathan kuminga,Denver Nuggets,27.494999999999997,12.9,4.7,-0.0,17.6,12.9,4.7,17.6
17,stephen curry,Denver Nuggets,34.455,24.5,5.1,6.5,29.6,31.0,11.6,36.1
110,kevon looney,Denver Nuggets,23.494999999999997,7.1,7.2,1.6,14.3,8.7,8.8,15.899999999999999
118,otto porter jr.,Denver Nuggets,22.494999999999997,8.6,5.3,1.2,13.899999999999999,9.799999999999999,6.5,15.099999999999998
100,jordan poole,Denver Nuggets,25.47,13.8,2.4,3.2,16.2,17.0,5.6,19.4
83,klay thompson,Denver Nuggets,29.47,17.6,4.4,3.4,22.0,21.0,7.800000000000001,25.4
84,derrick white,Detroit Pistons,29.39,14.6,3.4,5.8,18.0,20.4,9.2,23.799999999999997
134,payton pritchard,Detroit Pistons,20.435000000000002,5.4,2.2,2.7,7.6000000000000005,8.100000000000001,4.9,10.3
22,jaylen brown,Detroit Pistons,34.394999999999996,26.0,6.4,3.0,32.4,29.0,9.4,35.4
21,jayson tatum,Detroit Pistons,34.675,25.4,9.0,3.6,34.4,29.0,12.6,38.0
93,grant williams,Detroit Pistons,27.395,7.4,3.4,0.9,10.8,8.3,4.3,11.700000000000001
97,al horford,Detroit Pistons,25.45,8.8,7.1,2.6,15.9,11.4,9.7,18.5
49,aaron gordon,Golden State Warriors,32.53,14.3,5.0,2.0,19.3,16.3,7.0,21.3
82,monte morris,Golden State Warriors,29.525,11.5,2.2,3.9,13.7,15.4,6.1,17.6
140,jeff green,Golden State Warriors,20.02,7.2,2.2,0.8,9.4,8.0,3.0,10.2
39,will barton,Golden State Warriors,33.379999999999995,14.7,4.4,4.0,19.1,18.7,8.4,23.1
127,zeke nnaji,Golden State Warriors,21.52,8.6,4.0,0.0,12.6,8.6,4.0,12.6
26,nikola jokic,Golden State Warriors,34.375,24.3,13.9,7.3,38.2,31.6,21.2,45.5
7,mikal bridges,Houston Rockets,36.480000000000004,15.3,4.0,2.0,19.3,17.3,6.0,21.3
36,chris paul,Houston Rockets,33.445,15.5,4.3,12.0,19.8,27.5,16.3,31.8
14,devin booker,Houston Rockets,35.84,28.8,4.9,4.5,33.7,33.3,9.4,38.199999999999996
