,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
0,kyle kuzma,Brooklyn Nets,35.3,19.1,9.3,3.3,28.400000000000002,22.400000000000002,12.600000000000001,31.700000000000003
35,raul neto,Brooklyn Nets,28.689999999999998,10.4,2.6,3.6,13.0,14.0,6.2,16.6
22,kentavious caldwell-pope,Brooklyn Nets,30.945,13.1,3.3,1.7,16.4,14.799999999999999,5.0,18.099999999999998
17,corey kispert,Brooklyn Nets,30.895,9.1,3.6,1.0,12.7,10.1,4.6,13.7
51,thomas bryant,Brooklyn Nets,23.03,10.6,4.8,0.9,15.399999999999999,11.5,5.7,16.3
61,ish smith,Brooklyn Nets,21.93,4.6,2.0,3.9,6.6,8.5,5.9,10.5
29,deni avdija,Brooklyn Nets,29.795,9.1,5.7,1.4,14.8,10.5,7.1,16.2
63,rui hachimura,Brooklyn Nets,22.08,11.3,3.5,1.3,14.8,12.600000000000001,4.8,16.1
54,gabe vincent,Charlotte Hornets,24.475,7.8,1.6,3.2,9.4,11.0,4.800000000000001,12.6
52,duncan robinson,Charlotte Hornets,24.494999999999997,9.9,2.5,1.3,12.4,11.200000000000001,3.8,13.700000000000001
13,bam adebayo,Charlotte Hornets,33.495000000000005,20.5,11.0,3.2,31.5,23.7,14.2,34.7
1,kyle lowry,Charlotte Hornets,35.489999999999995,12.6,4.1,8.3,16.7,20.9,12.4,25.0
3,jimmy butler,Charlotte Hornets,35.47,25.8,6.9,6.2,32.7,32.0,13.100000000000001,38.9
41,p.j. tucker,Charlotte Hornets,28.494999999999997,8.2,6.2,2.0,14.399999999999999,10.2,8.2,16.4
14,brandon ingram,Dallas Mavericks,33.730000000000004,20.2,5.2,4.9,25.4,25.1,10.100000000000001,30.3
26,herbert jones,Dallas Mavericks,31.745,9.8,3.8,1.8,13.600000000000001,11.600000000000001,5.6,15.400000000000002
33,jonas valanciunas,Dallas Mavericks,30.755000000000003,17.5,11.3,2.6,28.8,20.1,13.9,31.400000000000002
15,cj mccollum,Dallas Mavericks,33.730000000000004,17.6,4.2,4.5,21.8,22.1,8.7,26.3
64,devonte' graham,Dallas Mavericks,22.314999999999998,8.6,1.7,2.8,10.299999999999999,11.399999999999999,4.5,13.099999999999998
45,jaxson hayes,Dallas Mavericks,26.3,12.2,5.3,-0.0,17.5,12.2,5.3,17.5
31,terance mann,Houston Rockets,30.369999999999997,10.3,4.8,2.2,15.100000000000001,12.5,7.0,17.3
49,robert covington,Houston Rockets,25.39,6.9,4.0,0.9,10.9,7.800000000000001,4.9,11.8
47,ivica zubac,Houston Rockets,25.384999999999998,11.4,8.4,1.2,19.8,12.6,9.6,21.0
55,amir coffey,Houston Rockets,24.395,8.0,2.9,1.1,10.9,9.1,4.0,12.0
