,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
1,fred vanvleet,Atlanta Hawks,36.535,18.9,4.0,6.7,22.9,25.599999999999998,10.7,29.599999999999998
2,pascal siakam,Atlanta Hawks,36.835,22.2,7.9,5.2,30.1,27.4,13.100000000000001,35.3
5,scottie barnes,Atlanta Hawks,35.64,15.3,7.2,3.3,22.5,18.6,10.5,25.8
68,chris boucher,Atlanta Hawks,21.655,10.2,5.6,-0.0,15.799999999999999,10.2,5.6,15.799999999999999
70,khem birch,Atlanta Hawks,21.435000000000002,4.7,4.8,1.2,9.5,5.9,6.0,10.7
60,thaddeus young,Atlanta Hawks,23.43,9.7,5.7,3.1,15.399999999999999,12.799999999999999,8.8,18.5
10,gary trent jr.,Atlanta Hawks,34.4,18.5,2.4,1.8,20.9,20.3,4.2,22.7
34,bobby portis,Brooklyn Nets,31.4,15.5,9.2,0.9,24.7,16.4,10.1,25.599999999999998
53,grayson allen,Brooklyn Nets,27.655,11.7,3.8,0.9,15.5,12.6,4.7,16.4
21,jrue holiday,Brooklyn Nets,32.4,17.9,4.9,6.2,22.799999999999997,24.099999999999998,11.100000000000001,29.0
33,giannis antetokounmpo,Brooklyn Nets,31.55,29.2,11.4,6.2,40.6,35.4,17.6,46.8
71,wesley matthews,Brooklyn Nets,20.515,4.5,1.7,0.3,6.2,4.8,2.0,6.5
29,khris middleton,Brooklyn Nets,32.445,18.5,5.0,4.6,23.5,23.1,9.6,28.1
73,george hill,Brooklyn Nets,20.265,5.6,2.5,1.7,8.1,7.3,4.2,9.8
54,steven adams,Chicago Bulls,26.765,6.7,9.8,3.1,16.5,9.8,12.9,19.6
16,ja morant,Chicago Bulls,33.769999999999996,26.1,5.7,7.7,31.8,33.800000000000004,13.4,39.50000000000001
40,jaren jackson jr.,Chicago Bulls,29.53,19.1,6.2,1.0,25.3,20.1,7.2,26.3
74,de'anthony melton,Chicago Bulls,20.509999999999998,7.9,3.3,2.0,11.2,9.9,5.3,13.2
63,ziaire williams,Chicago Bulls,22.525,6.8,1.8,0.7,8.6,7.5,2.5,9.3
32,desmond bane,Chicago Bulls,31.82,18.5,4.0,1.9,22.5,20.4,5.9,24.4
64,brandon clarke,Chicago Bulls,22.525,12.3,6.9,1.6,19.200000000000003,13.9,8.5,20.8
55,corey kispert,Cleveland Cavaliers,26.325,8.1,3.3,0.9,11.399999999999999,9.0,4.2,12.3
15,kyle kuzma,Cleveland Cavaliers,33.675,16.1,7.6,2.4,23.700000000000003,18.5,10.0,26.1
66,rui hachimura,Cleveland Cavaliers,21.335,9.6,2.7,0.9,12.3,10.5,3.6,13.2
41,deni avdija,Cleveland Cavaliers,29.47,9.3,6.3,1.6,15.600000000000001,10.9,7.9,17.2
43,raul neto,Cleveland Cavaliers,29.365000000000002,10.0,2.3,3.5,12.3,13.5,5.8,15.8
62,daniel gafford,Cleveland Cavaliers,23.475,8.4,7.2,1.0,15.600000000000001,9.4,8.2,16.6
35,kentavious caldwell-pope,Cleveland Cavaliers,30.47,11.2,2.9,1.8,14.1,13.0,4.7,15.9
