,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
13,chris duarte,Atlanta Hawks,35.485,20.3,5.3,2.5,25.6,22.8,7.8,28.1
21,torrey craig,Atlanta Hawks,34.485,8.5,5.4,1.7,13.9,10.2,7.1000000000000005,15.6
64,duane washington jr.,Atlanta Hawks,30.490000000000002,12.1,1.8,2.6,13.9,14.7,4.4,16.5
106,keifer sykes,Atlanta Hawks,23.490000000000002,6.1,2.1,3.1,8.2,9.2,5.2,11.299999999999999
100,isaiah jackson,Atlanta Hawks,23.490000000000002,12.1,7.6,-0.0,19.7,12.1,7.6,19.7
103,malcolm brogdon,Atlanta Hawks,23.490000000000002,13.4,3.2,4.8,16.6,18.2,8.0,21.4
101,goga bitadze,Atlanta Hawks,23.490000000000002,6.9,6.1,0.1,13.0,7.0,6.199999999999999,13.1
77,kessler edwards,Boston Celtics,27.35,6.6,4.9,0.1,11.5,6.699999999999999,5.0,11.6
65,blake griffin,Boston Celtics,29.97,9.1,6.6,3.0,15.7,12.1,9.6,18.7
89,james johnson,Boston Celtics,25.365000000000002,5.3,5.2,1.2,10.5,6.5,6.4,11.7
91,day'ron sharpe,Boston Celtics,24.975,13.3,9.6,-0.0,22.9,13.3,9.6,22.9
85,josh richardson,Brooklyn Nets,26.85,12.2,2.8,1.4,15.0,13.6,4.199999999999999,16.4
17,jaylen brown,Brooklyn Nets,34.82,22.3,5.5,3.0,27.8,25.3,8.5,30.8
84,al horford,Brooklyn Nets,26.85,8.4,6.5,2.5,14.9,10.9,9.0,17.4
10,jayson tatum,Brooklyn Nets,35.815,22.7,7.7,3.4,30.4,26.099999999999998,11.1,33.8
54,robert williams,Brooklyn Nets,31.835,9.9,9.1,1.2,19.0,11.1,10.299999999999999,20.2
114,grant williams,Brooklyn Nets,22.384999999999998,7.0,3.0,0.9,10.0,7.9,3.9,10.9
41,marcus smart,Brooklyn Nets,31.835,11.4,4.2,5.4,15.600000000000001,16.8,9.600000000000001,21.0
105,cory joseph,Dallas Mavericks,23.47,7.3,2.3,3.4,9.6,10.7,5.699999999999999,13.0
108,killian hayes,Dallas Mavericks,22.475,4.7,2.2,3.1,6.9,7.800000000000001,5.300000000000001,10.0
40,cade cunningham,Dallas Mavericks,32.43,15.8,5.3,4.7,21.1,20.5,10.0,25.8
42,jerami grant,Dallas Mavericks,31.485,17.8,4.7,2.2,22.5,20.0,6.9,24.7
43,saddiq bey,Dallas Mavericks,31.494999999999997,12.7,4.8,2.9,17.5,15.6,7.699999999999999,20.4
72,isaiah stewart,Dallas Mavericks,28.465,7.8,9.3,1.0,17.1,8.8,10.3,18.1
60,evan fournier,Denver Nuggets,30.45,14.4,2.8,2.1,17.2,16.5,4.9,19.3
121,obi toppin,Denver Nuggets,20.255000000000003,7.7,4.2,0.9,11.9,8.6,5.1000000000000005,12.8
67,taj gibson,Denver Nuggets,29.7,5.1,6.7,0.0,11.8,5.1,6.7,11.8
0,rj barrett,Denver Nuggets,38.4,18.6,5.9,3.2,24.5,21.8,9.100000000000001,27.700000000000003
2,julius randle,Denver Nuggets,36.5,18.4,10.0,3.7,28.4,22.099999999999998,13.7,32.099999999999994
118,alec burks,Denver Nuggets,22.5,9.2,3.6,2.1,12.799999999999999,11.299999999999999,5.7,14.899999999999999
104,kemba walker,Denver Nuggets,23.605,9.1,2.6,2.8,11.7,11.899999999999999,5.4,14.499999999999998
28,jalen brunson,Detroit Pistons,33.394999999999996,15.8,4.2,5.7,20.0,21.5,9.9,25.7
1,luka doncic,Detroit Pistons,36.485,26.1,10.0,9.5,36.1,35.6,19.5,45.6
113,josh green,Detroit Pistons,22.43,6.9,2.5,1.6,9.4,8.5,4.1,11.0
92,maxi kleber,Detroit Pistons,25.42,6.8,5.0,0.9,11.8,7.7,5.9,12.7
49,reggie bullock,Detroit Pistons,31.4,8.6,3.7,1.0,12.3,9.6,4.7,13.3
33,dorian finney-smith,Detroit Pistons,32.4,9.1,4.8,1.7,13.899999999999999,10.799999999999999,6.5,15.599999999999998
88,dwight powell,Detroit Pistons,25.42,9.1,5.6,1.2,14.7,10.299999999999999,6.8,15.899999999999999
34,herbert jones,Houston Rockets,32.519999999999996,11.3,3.9,2.0,15.200000000000001,13.3,5.9,17.2
45,devonte' graham,Houston Rockets,31.565,14.2,2.5,4.7,16.7,18.9,7.2,21.4
29,brandon ingram,Houston Rockets,33.519999999999996,21.9,5.1,4.2,27.0,26.099999999999998,9.3,31.199999999999996
52,jonas valanciunas,Houston Rockets,31.52,20.5,12.8,2.7,33.3,23.2,15.5,36.0
62,jaxson hayes,Houston Rockets,30.560000000000002,18.4,7.0,0.0,25.4,18.4,7.0,25.4
73,bogdan bogdanovic,Indiana Pacers,28.525,11.9,3.8,2.6,15.7,14.5,6.4,18.3
59,de'andre hunter,Indiana Pacers,30.494999999999997,15.8,2.9,1.0,18.7,16.8,3.9,19.7
63,john collins,Indiana Pacers,30.795,15.5,6.8,1.4,22.3,16.9,8.2,23.7
