,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
55,chris duarte,Atlanta Hawks,30.985,17.7,4.7,2.1,22.4,19.8,6.800000000000001,24.5
49,justin holiday,Atlanta Hawks,29.48,9.9,2.7,1.5,12.600000000000001,11.4,4.2,14.100000000000001
7,domantas sabonis,Atlanta Hawks,35.44,18.4,11.5,6.3,29.9,24.7,17.8,36.2
109,torrey craig,Atlanta Hawks,22.990000000000002,5.5,3.6,1.2,9.1,6.7,4.8,10.3
23,malcolm brogdon,Atlanta Hawks,27.045,15.5,3.8,5.5,19.3,21.0,9.3,24.8
115,blake griffin,Boston Celtics,20.655,6.5,4.6,2.0,11.1,8.5,6.6,13.1
1,james harden,Boston Celtics,40.385000000000005,22.0,7.6,9.3,29.6,31.3,16.9,38.9
113,james johnson,Boston Celtics,22.015,4.8,4.5,1.0,9.3,5.8,5.5,10.3
111,nic claxton,Boston Celtics,22.14,6.9,5.3,0.8,12.2,7.7,6.1,13.0
104,grant williams,Brooklyn Nets,21.884999999999998,6.6,3.1,0.9,9.7,7.5,4.0,10.6
63,dennis schroder,Brooklyn Nets,21.475,10.9,2.5,3.1,13.4,14.0,5.6,16.5
107,josh richardson,Brooklyn Nets,24.35,10.6,2.5,1.3,13.1,11.9,3.8,14.4
85,robert williams,Brooklyn Nets,28.835,9.3,8.2,1.2,17.5,10.5,9.399999999999999,18.7
81,al horford,Brooklyn Nets,26.35,8.0,6.4,2.5,14.4,10.5,8.9,16.9
47,jaylen brown,Brooklyn Nets,32.32,21.1,5.1,2.7,26.200000000000003,23.8,7.8,28.9
56,marcus smart,Brooklyn Nets,30.835,10.9,4.1,5.2,15.0,16.1,9.3,20.200000000000003
12,jayson tatum,Brooklyn Nets,34.815,21.8,7.6,3.3,29.4,25.1,10.899999999999999,32.7
34,jerami grant,Dallas Mavericks,31.025,17.4,4.6,2.2,22.0,19.599999999999998,6.8,24.199999999999996
90,kelly olynyk,Dallas Mavericks,22.23,10.7,4.5,3.0,15.2,13.7,7.5,18.2
91,isaiah stewart,Dallas Mavericks,24.48,6.8,8.2,0.8,15.0,7.6,9.0,15.799999999999999
98,killian hayes,Dallas Mavericks,23.54,5.0,2.3,3.4,7.3,8.4,5.699999999999999,10.7
61,cade cunningham,Dallas Mavericks,30.47,14.6,4.9,4.5,19.5,19.1,9.4,24.0
13,saddiq bey,Dallas Mavericks,32.535,13.1,4.9,2.9,18.0,16.0,7.800000000000001,20.9
