,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
75,p.j. tucker,Brooklyn Nets,28.560000000000002,7.7,6.0,2.2,13.7,9.9,8.2,15.9
46,kyle lowry,Brooklyn Nets,32.565,11.7,4.4,7.6,16.1,19.299999999999997,12.0,23.699999999999996
16,jimmy butler,Brooklyn Nets,35.504999999999995,24.0,6.0,5.4,30.0,29.4,11.4,35.4
43,bam adebayo,Brooklyn Nets,32.754999999999995,17.2,9.1,3.0,26.299999999999997,20.2,12.1,29.299999999999997
49,tyler herro,Brooklyn Nets,32.565,23.7,4.9,3.1,28.6,26.8,8.0,31.700000000000003
113,duncan robinson,Brooklyn Nets,21.545,9.4,2.6,0.9,12.0,10.3,3.5,12.9
55,desmond bane,Charlotte Hornets,31.465,19.6,4.9,2.8,24.5,22.400000000000002,7.7,27.300000000000004
94,steven adams,Charlotte Hornets,24.415,6.1,9.0,2.5,15.1,8.6,11.5,17.6
120,brandon clarke,Charlotte Hornets,20.490000000000002,12.0,7.1,1.7,19.1,13.7,8.799999999999999,20.799999999999997
22,ja morant,Charlotte Hornets,34.525,27.2,5.4,7.6,32.6,34.8,13.0,40.199999999999996
71,jaren jackson jr.,Charlotte Hornets,29.505000000000003,19.5,6.8,1.2,26.3,20.7,8.0,27.5
121,de'anthony melton,Charlotte Hornets,20.490000000000002,8.3,3.7,2.5,12.0,10.8,6.2,14.5
101,ziaire williams,Charlotte Hornets,23.485,7.8,1.8,1.2,9.6,9.0,3.0,10.8
72,josh giddey,Chicago Bulls,29.47,11.0,6.2,5.7,17.2,16.7,11.9,22.9
117,aleksej pokusevski,Chicago Bulls,21.48,7.3,5.2,1.6,12.5,8.9,6.800000000000001,14.100000000000001
74,darius bazley,Chicago Bulls,29.47,11.3,7.4,1.3,18.700000000000003,12.600000000000001,8.700000000000001,20.0
89,kenrich williams,Chicago Bulls,25.475,8.3,4.9,1.8,13.200000000000001,10.100000000000001,6.7,15.000000000000002
70,tre mann,Chicago Bulls,29.689999999999998,11.9,2.7,0.0,14.600000000000001,11.9,2.7,14.600000000000001
36,luguentz dort,Chicago Bulls,33.47,16.6,4.1,1.5,20.700000000000003,18.1,5.6,22.200000000000003
88,furkan korkmaz,Cleveland Cavaliers,25.505000000000003,9.1,2.6,2.4,11.7,11.5,5.0,14.1
69,matisse thybulle,Cleveland Cavaliers,29.509999999999998,6.1,2.3,1.1,8.399999999999999,7.199999999999999,3.4,9.5
15,tyrese maxey,Cleveland Cavaliers,35.379999999999995,14.2,3.0,3.8,17.2,18.0,6.8,21.0
35,joel embiid,Cleveland Cavaliers,33.510000000000005,25.5,11.5,3.9,37.0,29.4,15.4,40.9
119,danny green,Cleveland Cavaliers,21.505000000000003,5.8,2.6,0.9,8.4,6.7,3.5,9.3
114,shake milton,Cleveland Cavaliers,21.505000000000003,8.0,2.2,2.1,10.2,10.1,4.300000000000001,12.3
14,tobias harris,Cleveland Cavaliers,35.425,16.9,6.4,3.0,23.299999999999997,19.9,9.4,26.299999999999997
50,reggie jackson,Dallas Mavericks,31.494999999999997,15.3,3.3,4.0,18.6,19.3,7.3,22.6
52,norman powell,Dallas Mavericks,31.53,16.1,3.2,2.0,19.3,18.1,5.2,21.3
95,luke kennard,Dallas Mavericks,24.255000000000003,8.7,2.8,1.8,11.5,10.5,4.6,13.3
100,robert covington,Dallas Mavericks,23.545,5.8,3.8,0.9,9.6,6.7,4.7,10.5
110,nicolas batum,Dallas Mavericks,22.675,6.0,3.8,1.2,9.8,7.2,5.0,11.0
108,terance mann,Dallas Mavericks,22.535,6.8,3.7,1.9,10.5,8.7,5.6,12.399999999999999
109,ivica zubac,Dallas Mavericks,22.475,8.6,7.0,1.0,15.6,9.6,8.0,16.6
1,fred vanvleet,Denver Nuggets,37.870000000000005,19.1,4.1,7.0,23.200000000000003,26.1,11.1,30.200000000000003
3,pascal siakam,Denver Nuggets,36.870000000000005,19.2,8.3,3.9,27.5,23.099999999999998,12.200000000000001,31.4
11,scottie barnes,Denver Nuggets,35.375,13.0,7.1,2.8,20.1,15.8,9.899999999999999,22.9
23,gary trent jr.,Denver Nuggets,34.379999999999995,16.3,2.3,2.0,18.6,18.3,4.3,20.6
13,og anunoby,Denver Nuggets,35.379999999999995,15.4,4.9,2.1,20.3,17.5,7.0,22.4
57,russell westbrook,Golden State Warriors,31.745,15.9,6.6,5.9,22.5,21.8,12.5,28.4
9,lebron james,Golden State Warriors,35.45,25.9,6.3,6.0,32.199999999999996,31.9,12.3,38.199999999999996
6,anthony davis,Golden State Warriors,35.425,22.5,10.0,2.7,32.5,25.2,12.7,35.2
87,stanley johnson,Golden State Warriors,25.415,6.8,3.1,1.3,9.9,8.1,4.4,11.2
39,malik monk,Golden State Warriors,32.335,14.6,3.5,2.8,18.1,17.4,6.3,20.9
25,luka doncic,Los Angeles Clippers,34.754999999999995,27.3,9.9,9.1,37.2,36.4,19.0,46.3
44,dorian finney-smith,Los Angeles Clippers,32.33,8.8,5.3,1.6,14.100000000000001,10.4,6.9,15.7
96,dwight powell,Los Angeles Clippers,24.32,9.6,5.4,1.3,15.0,10.9,6.7,16.3
61,reggie bullock,Los Angeles Clippers,30.28,7.5,3.6,0.9,11.1,8.4,4.5,12.0
33,jalen brunson,Los Angeles Clippers,33.33,17.5,4.5,5.5,22.0,23.0,10.0,27.5
93,maxi kleber,Los Angeles Clippers,24.535,6.5,5.2,0.8,11.7,7.3,6.0,12.5
8,stephen curry,Los Angeles Lakers,35.44,28.6,5.9,6.9,34.5,35.5,12.8,41.4
84,jordan poole,Los Angeles Lakers,26.47,13.6,2.6,3.4,16.2,17.0,6.0,19.6
102,kevon looney,Los Angeles Lakers,23.555,6.9,7.6,1.6,14.5,8.5,9.2,16.1
29,andrew wiggins,Los Angeles Lakers,33.754999999999995,18.8,4.5,2.1,23.3,20.900000000000002,6.6,25.400000000000002
64,klay thompson,Los Angeles Lakers,29.415,16.2,4.9,3.7,21.1,19.9,8.600000000000001,24.799999999999997
104,otto porter jr.,Los Angeles Lakers,23.515,10.5,6.5,1.6,17.0,12.1,8.1,18.6
85,mason plumlee,Memphis Grizzlies,26.505000000000003,6.3,7.0,3.2,13.3,9.5,10.2,16.5
10,miles bridges,Memphis Grizzlies,35.489999999999995,20.3,7.3,3.9,27.6,24.2,11.2,31.5
76,p.j. washington,Memphis Grizzlies,27.505000000000003,10.6,6.6,1.7,17.2,12.299999999999999,8.299999999999999,18.9
116,ish smith,Memphis Grizzlies,21.475,3.9,1.9,3.7,5.8,7.6,5.6,9.5
112,montrezl harrell,Memphis Grizzlies,21.505000000000003,12.1,4.7,1.9,16.8,14.0,6.6,18.7
34,lamelo ball,Memphis Grizzlies,33.489999999999995,20.8,6.7,8.1,27.5,28.9,14.8,35.6
12,terry rozier,Memphis Grizzlies,35.489999999999995,19.6,4.1,4.2,23.700000000000003,23.8,8.3,27.9
62,kelly oubre jr.,Memphis Grizzlies,30.505000000000003,16.6,3.6,1.0,20.200000000000003,17.6,4.6,21.200000000000003
82,james johnson,Miami Heat,26.61,6.4,4.8,1.7,11.2,8.1,6.5,12.899999999999999
81,blake griffin,Miami Heat,26.61,8.2,5.7,2.8,13.899999999999999,11.0,8.5,16.7
111,kessler edwards,Miami Heat,21.59,5.2,3.7,-0.0,8.9,5.2,3.7,8.9
0,kyrie irving,Miami Heat,39.16,25.3,4.3,5.1,29.6,30.4,9.399999999999999,34.699999999999996
18,dejounte murray,New Orleans Pelicans,34.415,20.9,8.7,8.8,29.599999999999998,29.7,17.5,38.4
107,thaddeus young,New Orleans Pelicans,22.564999999999998,7.5,5.5,3.3,13.0,10.8,8.8,16.3
60,devin vassell,New Orleans Pelicans,30.494999999999997,14.3,4.6,1.4,18.9,15.700000000000001,6.0,20.3
73,jakob poeltl,New Orleans Pelicans,29.494999999999997,14.2,8.2,3.0,22.4,17.2,11.2,25.4
99,doug mcdermott,New Orleans Pelicans,24.494999999999997,11.0,2.4,1.0,13.4,12.0,3.4,14.4
80,joshua primo,New Orleans Pelicans,27.494999999999997,7.4,2.1,1.9,9.5,9.3,4.0,11.4
42,keldon johnson,New Orleans Pelicans,32.42,16.4,5.8,1.6,22.2,18.0,7.4,23.8
68,coby white,Oklahoma City Thunder,29.380000000000003,13.8,2.7,3.0,16.5,16.8,5.7,19.5
26,zach lavine,Oklahoma City Thunder,34.8,25.0,5.3,4.0,30.3,29.0,9.3,34.3
7,demar derozan,Oklahoma City Thunder,35.864999999999995,28.9,5.4,5.2,34.3,34.1,10.600000000000001,39.5
28,ayo dosunmu,Oklahoma City Thunder,34.825,8.9,3.3,3.2,12.2,12.100000000000001,6.5,15.400000000000002
66,javonte green,Oklahoma City Thunder,29.45,8.2,5.3,1.2,13.5,9.399999999999999,6.5,14.7
47,nikola vucevic,Oklahoma City Thunder,32.805,15.4,13.0,2.9,28.4,18.3,15.9,31.3
118,cameron johnson,Orlando Magic,21.58,11.5,3.8,1.1,15.3,12.6,4.9,16.4
5,mikal bridges,Orlando Magic,36.565,14.1,4.4,2.1,18.5,16.2,6.5,20.6
4,devin booker,Orlando Magic,36.635000000000005,25.2,5.6,4.5,30.799999999999997,29.7,10.1,35.3
67,jae crowder,Orlando Magic,29.61,10.0,5.3,1.3,15.3,11.3,6.6,16.6
2,chris paul,Orlando Magic,36.635000000000005,17.3,4.8,11.3,22.1,28.6,16.1,33.4
65,deandre ayton,Orlando Magic,29.61,18.5,10.6,1.4,29.1,19.9,12.0,30.5
17,darius garland,Philadelphia 76ers,35.614999999999995,19.4,3.1,7.3,22.5,26.7,10.4,29.8
54,caris levert,Philadelphia 76ers,31.34,17.8,3.9,4.1,21.7,21.9,8.0,25.799999999999997
63,isaac okoro,Philadelphia 76ers,29.35,8.3,3.5,1.8,11.8,10.100000000000001,5.3,13.600000000000001
105,kevin love,Philadelphia 76ers,23.380000000000003,14.0,8.0,2.1,22.0,16.1,10.1,24.1
58,jarrett allen,Philadelphia 76ers,31.65,14.9,10.1,1.4,25.0,16.3,11.5,26.4
