,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
67,kelly olynyk,Charlotte Hornets,21.41,10.2,5.4,2.7,15.6,12.899999999999999,8.100000000000001,18.299999999999997
59,cory joseph,Charlotte Hornets,22.405,6.4,2.2,3.7,8.600000000000001,10.100000000000001,5.9,12.3
31,isaiah stewart,Charlotte Hornets,29.375,9.5,10.7,1.0,20.2,10.5,11.7,21.2
27,jerami grant,Charlotte Hornets,31.365000000000002,18.9,4.7,2.9,23.599999999999998,21.799999999999997,7.6,26.499999999999996
18,cade cunningham,Charlotte Hornets,32.36,16.1,5.7,5.1,21.8,21.200000000000003,10.8,26.900000000000002
17,saddiq bey,Charlotte Hornets,32.36,14.7,5.5,3.2,20.2,17.9,8.7,23.4
61,gary payton ii,Dallas Mavericks,22.55,8.2,3.8,1.0,12.0,9.2,4.8,13.0
58,kevon looney,Dallas Mavericks,23.55,6.9,7.9,1.7,14.8,8.6,9.6,16.5
43,jonathan kuminga,Dallas Mavericks,26.555,13.0,4.3,-0.0,17.3,13.0,4.3,17.3
15,andrew wiggins,Dallas Mavericks,33.57,16.7,4.1,2.2,20.799999999999997,18.9,6.3,23.0
33,jordan poole,Dallas Mavericks,29.564999999999998,14.3,2.9,3.6,17.2,17.900000000000002,6.5,20.8
5,stephen curry,Dallas Mavericks,35.575,23.8,4.8,5.5,28.6,29.3,10.3,34.1
52,trendon watford,Denver Nuggets,23.545,8.7,5.7,1.8,14.399999999999999,10.5,7.5,16.2
25,justise winslow,Denver Nuggets,31.64,10.5,8.2,3.0,18.7,13.5,11.2,21.7
9,josh hart,Denver Nuggets,34.705,13.5,7.4,4.2,20.9,17.7,11.600000000000001,25.1
8,anfernee simons,Denver Nuggets,34.61,19.5,2.9,3.9,22.4,23.4,6.8,26.299999999999997
34,cj elleby,Denver Nuggets,29.455,7.7,5.6,0.6,13.3,8.3,6.199999999999999,13.9
57,drew eubanks,Denver Nuggets,23.545,7.7,7.1,1.4,14.8,9.1,8.5,16.2
35,kelly oubre jr.,Detroit Pistons,28.560000000000002,18.3,4.1,0.9,22.4,19.2,5.0,23.299999999999997
3,terry rozier,Detroit Pistons,35.56,21.0,4.6,4.6,25.6,25.6,9.2,30.200000000000003
4,miles bridges,Detroit Pistons,35.56,18.7,6.7,3.3,25.4,22.0,10.0,28.7
32,p.j. washington,Detroit Pistons,29.55,10.2,6.4,1.5,16.6,11.7,7.9,18.1
63,mason plumlee,Detroit Pistons,22.55,5.6,7.3,2.5,12.899999999999999,8.1,9.8,15.399999999999999
13,lamelo ball,Detroit Pistons,33.56,20.2,7.3,8.1,27.5,28.299999999999997,15.399999999999999,35.599999999999994
44,montrezl harrell,Detroit Pistons,26.555,15.1,7.0,2.1,22.1,17.2,9.1,24.2
48,spencer dinwiddie,Golden State Warriors,25.41,9.5,3.6,4.0,13.1,13.5,7.6,17.1
56,dwight powell,Golden State Warriors,23.439999999999998,7.6,4.8,1.1,12.399999999999999,8.7,5.9,13.5
47,maxi kleber,Golden State Warriors,25.41,7.2,4.7,0.8,11.9,8.0,5.5,12.7
11,jalen brunson,Golden State Warriors,34.91,15.9,3.9,4.9,19.8,20.8,8.8,24.7
7,luka doncic,Golden State Warriors,34.875,23.9,8.8,7.5,32.7,31.4,16.3,40.2
19,reggie bullock,Golden State Warriors,32.915,7.7,3.4,1.0,11.1,8.7,4.4,12.1
21,dorian finney-smith,Golden State Warriors,31.885,9.6,4.2,1.5,13.8,11.1,5.7,15.3
1,reggie jackson,Houston Rockets,35.65,20.4,3.5,4.9,23.9,25.299999999999997,8.4,28.799999999999997
64,isaiah hartenstein,Houston Rockets,20.525,10.0,5.7,2.1,15.7,12.1,7.800000000000001,17.8
49,amir coffey,Houston Rockets,23.605,7.8,2.7,1.0,10.5,8.8,3.7,11.5
66,robert covington,Houston Rockets,20.98,5.8,3.4,0.8,9.2,6.6,4.2,10.0
36,luke kennard,Houston Rockets,27.475,11.8,3.1,2.1,14.9,13.9,5.2,17.0
20,terance mann,Houston Rockets,31.634999999999998,11.0,5.1,2.2,16.1,13.2,7.3,18.299999999999997
38,nicolas batum,Houston Rockets,26.615000000000002,8.0,4.6,1.6,12.6,9.6,6.199999999999999,14.2
42,ivica zubac,Houston Rockets,25.61,11.2,8.8,1.1,20.0,12.299999999999999,9.9,21.1
65,dennis schroder,Los Angeles Clippers,21.47,10.4,2.8,3.5,13.2,13.9,6.3,16.7
22,christian wood,Los Angeles Clippers,31.455,19.5,11.2,2.2,30.7,21.7,13.399999999999999,32.9
54,kenyon martin jr.,Los Angeles Clippers,23.57,11.1,5.0,1.2,16.1,12.299999999999999,6.2,17.299999999999997
40,jae'sean tate,Los Angeles Clippers,27.58,12.6,6.3,2.4,18.9,15.0,8.7,21.3
37,eric gordon,Los Angeles Clippers,28.46,11.1,1.7,2.3,12.799999999999999,13.399999999999999,4.0,15.099999999999998
24,kevin porter jr.,Los Angeles Clippers,31.455,15.0,4.8,6.4,19.8,21.4,11.2,26.2
26,jalen green,Los Angeles Clippers,31.455,12.5,3.5,1.9,16.0,14.4,5.4,17.9
