,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
41,javonte green,Charlotte Hornets,31.475,9.6,5.7,1.6,15.3,11.2,7.300000000000001,16.9
34,coby white,Charlotte Hornets,32.405,15.6,2.7,2.8,18.3,18.4,5.5,21.099999999999998
66,troy brown jr.,Charlotte Hornets,23.535,6.2,4.1,1.0,10.3,7.2,5.1,11.3
7,demar derozan,Charlotte Hornets,36.705,31.5,6.0,6.2,37.5,37.7,12.2,43.7
62,matt thomas,Charlotte Hornets,24.494999999999997,8.4,2.3,-0.0,10.7,8.4,2.3,10.7
9,zach lavine,Charlotte Hornets,36.375,27.5,5.5,5.1,33.0,32.6,10.6,38.1
22,nikola vucevic,Charlotte Hornets,34.364999999999995,19.0,13.3,3.2,32.3,22.2,16.5,35.5
35,p.j. washington,Chicago Bulls,32.83,14.0,7.4,2.1,21.4,16.1,9.5,23.5
1,terry rozier,Chicago Bulls,38.875,21.1,4.3,3.9,25.400000000000002,25.0,8.2,29.3
18,lamelo ball,Chicago Bulls,35.760000000000005,21.6,7.1,8.9,28.700000000000003,30.5,16.0,37.6
26,kelly oubre jr.,Chicago Bulls,33.475,18.0,4.2,0.9,22.2,18.9,5.1000000000000005,23.099999999999998
10,miles bridges,Chicago Bulls,36.475,21.5,7.0,4.0,28.5,25.5,11.0,32.5
52,mason plumlee,Chicago Bulls,28.78,7.8,8.2,3.2,16.0,11.0,11.399999999999999,19.2
24,dejounte murray,Cleveland Cavaliers,34.675,18.6,7.7,7.9,26.3,26.5,15.600000000000001,34.2
43,jakob poeltl,Cleveland Cavaliers,30.455,11.6,9.8,2.5,21.4,14.1,12.3,23.9
44,derrick white,Cleveland Cavaliers,30.564999999999998,13.9,3.0,6.3,16.9,20.2,9.3,23.2
57,devin vassell,Cleveland Cavaliers,26.494999999999997,11.3,4.3,1.1,15.600000000000001,12.4,5.4,16.7
40,keldon johnson,Cleveland Cavaliers,31.74,14.9,6.3,1.7,21.2,16.6,8.0,22.900000000000002
65,doug mcdermott,Cleveland Cavaliers,23.425,11.2,2.1,0.9,13.299999999999999,12.1,3.0,14.2
69,lonnie walker iv,Cleveland Cavaliers,22.255000000000003,10.5,1.9,2.4,12.4,12.9,4.3,14.8
70,hassan whiteside,Golden State Warriors,21.535,10.6,8.3,0.0,18.9,10.6,8.3,18.9
68,udoka azubuike,Golden State Warriors,23.54,4.6,5.4,0.0,10.0,4.6,5.4,10.0
31,royce o'neale,Golden State Warriors,32.43,6.5,4.2,1.9,10.7,8.4,6.1,12.600000000000001
51,mike conley,Golden State Warriors,28.535,13.3,2.9,5.2,16.2,18.5,8.1,21.4
28,donovan mitchell,Golden State Warriors,33.614999999999995,25.8,4.1,5.1,29.9,30.9,9.2,35.0
39,bojan bogdanovic,Golden State Warriors,31.685,18.3,3.6,0.9,21.900000000000002,19.2,4.5,22.8
55,jordan clarkson,Golden State Warriors,26.545,15.8,3.2,2.2,19.0,18.0,5.4,21.2
50,justise winslow,Los Angeles Lakers,29.5,9.1,7.9,2.8,17.0,11.899999999999999,10.7,19.799999999999997
59,dennis smith jr.,Los Angeles Lakers,25.5,8.3,4.1,6.0,12.4,14.3,10.1,18.4
48,trendon watford,Los Angeles Lakers,29.41,11.4,6.6,2.1,18.0,13.5,8.7,20.1
53,ben mclemore,Los Angeles Lakers,28.6,11.2,2.2,1.2,13.399999999999999,12.399999999999999,3.4000000000000004,14.599999999999998
42,jusuf nurkic,Los Angeles Lakers,31.7,14.3,11.2,2.6,25.5,16.900000000000002,13.799999999999999,28.1
8,anfernee simons,Los Angeles Lakers,36.5,18.3,3.5,4.3,21.8,22.6,7.8,26.1
11,de'aaron fox,Minnesota Timberwolves,35.035,22.5,3.9,5.1,26.4,27.6,9.0,31.5
6,davion mitchell,Minnesota Timberwolves,35.035,13.1,2.7,4.4,15.8,17.5,7.1000000000000005,20.2
47,louis king,Minnesota Timberwolves,24.02,11.2,2.2,1.2,13.399999999999999,12.399999999999999,3.4000000000000004,14.599999999999998
12,maurice harkless,Minnesota Timberwolves,29.025,7.9,3.7,-0.0,11.600000000000001,7.9,3.7,11.600000000000001
