,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
26,kyle kuzma,Brooklyn Nets,32.7,17.5,8.6,2.8,26.1,20.3,11.399999999999999,28.9
35,corey kispert,Brooklyn Nets,30.795,9.6,3.6,1.2,13.2,10.799999999999999,4.8,14.399999999999999
71,rui hachimura,Brooklyn Nets,23.25,10.4,3.6,1.5,14.0,11.9,5.1,15.5
36,raul neto,Brooklyn Nets,30.775,10.6,2.8,3.7,13.399999999999999,14.3,6.5,17.1
37,kentavious caldwell-pope,Brooklyn Nets,30.795,13.0,3.3,1.7,16.3,14.7,5.0,18.0
59,thomas bryant,Brooklyn Nets,25.72,8.6,4.8,1.1,13.399999999999999,9.7,5.9,14.5
53,deni avdija,Brooklyn Nets,27.695,8.5,5.6,1.4,14.1,9.9,7.0,15.5
32,norman powell,Dallas Mavericks,31.535,15.8,3.1,1.8,18.900000000000002,17.6,4.9,20.700000000000003
79,ivica zubac,Dallas Mavericks,22.48,8.7,7.1,1.0,15.799999999999999,9.7,8.1,16.799999999999997
73,nicolas batum,Dallas Mavericks,22.675,5.6,3.8,1.2,9.399999999999999,6.8,5.0,10.6
65,robert covington,Dallas Mavericks,24.545,5.9,3.9,0.9,9.8,6.800000000000001,4.8,10.700000000000001
84,luke kennard,Dallas Mavericks,20.255000000000003,7.5,2.3,1.5,9.8,9.0,3.8,11.3
47,reggie jackson,Dallas Mavericks,28.494999999999997,13.9,2.9,3.5,16.8,17.4,6.4,20.299999999999997
46,jaren jackson jr.,Detroit Pistons,29.585,16.7,6.0,0.9,22.7,17.599999999999998,6.9,23.599999999999998
16,ja morant,Detroit Pistons,34.614999999999995,27.9,6.3,8.0,34.199999999999996,35.9,14.3,42.199999999999996
43,ziaire williams,Detroit Pistons,30.625,10.8,2.5,1.2,13.3,12.0,3.7,14.5
68,steven adams,Detroit Pistons,24.48,5.7,8.9,2.5,14.600000000000001,8.2,11.4,17.1
83,brandon clarke,Detroit Pistons,20.485,9.9,6.1,1.3,16.0,11.200000000000001,7.3999999999999995,17.3
31,desmond bane,Detroit Pistons,31.55,21.1,4.6,2.1,25.700000000000003,23.200000000000003,6.699999999999999,27.800000000000004
44,mitchell robinson,Golden State Warriors,29.43,8.8,9.3,0.0,18.1,8.8,9.3,18.1
61,quentin grimes,Golden State Warriors,25.439999999999998,5.3,2.2,-0.0,7.5,5.3,2.2,7.5
42,evan fournier,Golden State Warriors,30.645,13.1,2.8,1.9,15.899999999999999,15.0,4.699999999999999,17.8
