,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
112,chris boucher,Charlotte Hornets,21.439999999999998,10.2,6.3,-0.0,16.5,10.2,6.3,16.5
1,fred vanvleet,Charlotte Hornets,37.385000000000005,18.5,4.2,6.6,22.7,25.1,10.8,29.3
2,pascal siakam,Charlotte Hornets,37.385000000000005,22.8,9.3,5.7,32.1,28.5,15.0,37.8
80,thaddeus young,Charlotte Hornets,25.425,10.4,7.6,3.7,18.0,14.100000000000001,11.3,21.700000000000003
13,scottie barnes,Charlotte Hornets,35.39,14.8,8.3,4.0,23.1,18.8,12.3,27.1
111,khem birch,Charlotte Hornets,22.494999999999997,6.2,6.1,1.1,12.3,7.300000000000001,7.199999999999999,13.4
19,gary trent jr.,Charlotte Hornets,34.394999999999996,16.4,2.4,2.1,18.799999999999997,18.5,4.5,20.9
77,jordan clarkson,Dallas Mavericks,26.475,14.3,3.5,2.3,17.8,16.6,5.8,20.1
39,royce o'neale,Dallas Mavericks,31.47,7.1,4.3,2.2,11.399999999999999,9.3,6.5,13.600000000000001
29,donovan mitchell,Dallas Mavericks,33.47,24.6,4.7,5.2,29.3,29.8,9.9,34.5
44,rudy gobert,Dallas Mavericks,31.47,16.7,14.3,1.0,31.0,17.7,15.3,32.0
65,mike conley,Dallas Mavericks,28.475,13.0,2.9,5.1,15.9,18.1,8.0,21.0
42,bojan bogdanovic,Dallas Mavericks,31.47,17.5,4.0,1.2,21.5,18.7,5.2,22.7
43,wendell carter jr.,Houston Rockets,32.045,18.5,11.7,2.9,30.2,21.4,14.6,33.099999999999994
79,chuma okeke,Houston Rockets,27.04,9.6,4.9,1.5,14.5,11.1,6.4,16.0
36,cole anthony,Houston Rockets,33.05,17.7,5.5,6.8,23.2,24.5,12.3,30.0
55,franz wagner,Houston Rockets,31.045,15.3,3.7,2.4,19.0,17.7,6.1,21.4
97,gary harris,Houston Rockets,23.535,8.9,1.5,1.3,10.4,10.200000000000001,2.8,11.700000000000001
58,jalen suggs,Houston Rockets,31.045,14.9,3.9,5.1,18.8,20.0,9.0,23.9
101,mo bamba,Houston Rockets,23.535,10.1,7.6,0.9,17.7,11.0,8.5,18.6
82,aleksej pokusevski,Indiana Pacers,25.365000000000002,8.3,5.2,1.5,13.5,9.8,6.7,15.0
113,theo maledon,Indiana Pacers,21.384999999999998,4.1,2.4,1.6,6.5,5.699999999999999,4.0,8.1
45,shai gilgeous-alexander,Indiana Pacers,31.345,21.4,3.9,4.2,25.299999999999997,25.599999999999998,8.1,29.499999999999996
94,aaron wiggins,Indiana Pacers,24.425,6.4,3.5,0.9,9.9,7.300000000000001,4.4,10.8
26,darius bazley,Indiana Pacers,33.39,11.5,6.9,1.2,18.4,12.7,8.1,19.6
89,isaiah roby,Indiana Pacers,25.405,9.6,4.3,0.9,13.899999999999999,10.5,5.2,14.8
60,josh giddey,Indiana Pacers,30.42,11.9,6.8,6.1,18.7,18.0,12.899999999999999,24.8
81,tre mann,Indiana Pacers,25.405,10.4,2.4,0.3,12.8,10.700000000000001,2.6999999999999997,13.100000000000001
66,talen horton-tucker,Los Angeles Clippers,28.490000000000002,8.3,3.4,2.6,11.700000000000001,10.9,6.0,14.3
