,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
35,kentavious caldwell-pope,Atlanta Hawks,32.445,14.3,3.0,2.0,17.3,16.3,5.0,19.3
66,deni avdija,Atlanta Hawks,29.45,8.8,6.7,1.4,15.5,10.200000000000001,8.1,16.900000000000002
54,corey kispert,Atlanta Hawks,30.3,8.9,3.9,1.0,12.8,9.9,4.9,13.8
32,kyle kuzma,Atlanta Hawks,33.65,18.2,8.4,3.0,26.6,21.2,11.4,29.6
105,rui hachimura,Atlanta Hawks,21.32,11.0,2.9,1.0,13.9,12.0,3.9,14.9
84,raul neto,Atlanta Hawks,26.52,9.4,2.2,3.8,11.600000000000001,13.2,6.0,15.399999999999999
108,daniel gafford,Atlanta Hawks,21.415,8.7,6.0,1.0,14.7,9.7,7.0,15.7
106,ish smith,Atlanta Hawks,21.335,4.9,1.8,4.6,6.7,9.5,6.3999999999999995,11.3
31,jrue holiday,Chicago Bulls,33.7,19.3,4.6,7.4,23.9,26.700000000000003,12.0,31.300000000000004
101,wesley matthews,Chicago Bulls,22.4,4.0,1.5,0.6,5.5,4.6,2.1,6.1
107,grayson allen,Chicago Bulls,21.525,7.8,2.3,0.8,10.1,8.6,3.0999999999999996,10.899999999999999
28,khris middleton,Chicago Bulls,33.75,19.3,5.1,4.1,24.4,23.4,9.2,28.5
53,bobby portis,Chicago Bulls,30.72,17.2,9.4,1.2,26.6,18.4,10.6,27.799999999999997
29,giannis antetokounmpo,Chicago Bulls,33.85,31.6,12.7,6.2,44.3,37.800000000000004,18.9,50.5
12,tobias harris,Cleveland Cavaliers,35.54,17.0,6.2,2.8,23.2,19.8,9.0,26.0
37,joel embiid,Cleveland Cavaliers,32.620000000000005,26.3,11.0,3.5,37.3,29.8,14.5,40.8
85,matisse thybulle,Cleveland Cavaliers,26.595,5.2,2.1,1.0,7.300000000000001,6.2,3.1,8.3
21,tyrese maxey,Cleveland Cavaliers,33.625,14.5,2.8,3.7,17.3,18.2,6.5,21.0
11,james harden,Cleveland Cavaliers,35.629999999999995,20.1,6.8,9.8,26.900000000000002,29.900000000000002,16.6,36.7
40,jalen green,Denver Nuggets,31.4,14.4,3.1,2.2,17.5,16.6,5.300000000000001,19.700000000000003
75,garrison mathews,Denver Nuggets,28.48,11.9,2.8,1.1,14.7,13.0,3.9,15.8
45,christian wood,Denver Nuggets,31.4,19.0,8.9,1.8,27.9,20.8,10.700000000000001,29.700000000000003
46,kevin porter jr.,Denver Nuggets,31.4,13.9,4.0,6.9,17.9,20.8,10.9,24.8
77,jae'sean tate,Denver Nuggets,27.415,11.7,5.4,2.7,17.1,14.399999999999999,8.100000000000001,19.799999999999997
74,eric gordon,Denver Nuggets,28.39,12.0,1.7,2.6,13.7,14.6,4.3,16.3
98,kenyon martin jr.,Denver Nuggets,23.48,10.3,4.1,1.4,14.4,11.700000000000001,5.5,15.8
0,tyrese haliburton,Detroit Pistons,37.519999999999996,16.5,4.3,9.0,20.8,25.5,13.3,29.8
65,malcolm brogdon,Detroit Pistons,29.525,17.2,4.8,5.7,22.0,22.9,10.5,27.7
97,isaiah jackson,Detroit Pistons,23.475,11.2,5.7,0.0,16.9,11.2,5.7,16.9
3,buddy hield,Detroit Pistons,37.455,18.8,5.4,2.7,24.200000000000003,21.5,8.100000000000001,26.9
82,chris duarte,Detroit Pistons,26.465,13.6,4.0,1.9,17.6,15.5,5.9,19.5
39,oshae brissett,Detroit Pistons,32.465,11.5,8.1,1.3,19.6,12.8,9.4,20.9
87,jalen smith,Detroit Pistons,25.475,10.4,7.4,0.0,17.8,10.4,7.4,17.8
67,monte morris,Houston Rockets,29.335,12.0,2.3,4.5,14.3,16.5,6.8,18.8
109,jeff green,Houston Rockets,20.47,9.2,2.5,0.9,11.7,10.1,3.4,12.6
44,aaron gordon,Houston Rockets,31.815,15.9,5.4,2.6,21.3,18.5,8.0,23.9
41,will barton,Houston Rockets,31.815,15.0,4.6,4.1,19.6,19.1,8.7,23.700000000000003
25,nikola jokic,Houston Rockets,33.805,30.2,14.9,7.8,45.1,38.0,22.7,52.9
48,cade cunningham,Indiana Pacers,31.755,17.2,6.2,4.8,23.4,22.0,11.0,28.2
111,killian hayes,Indiana Pacers,20.345,4.6,2.2,3.2,6.8,7.8,5.4,10.0
60,jerami grant,Indiana Pacers,30.32,17.3,3.3,2.2,20.6,19.5,5.5,22.8
104,cory joseph,Indiana Pacers,21.39,6.6,2.2,3.1,8.8,9.7,5.300000000000001,11.899999999999999
79,isaiah stewart,Indiana Pacers,27.29,8.0,9.5,0.9,17.5,8.9,10.4,18.4
110,marvin bagley iii,Indiana Pacers,20.345,7.6,5.6,0.0,13.2,7.6,5.6,13.2
52,saddiq bey,Indiana Pacers,31.755,16.5,4.9,2.8,21.4,19.3,7.7,24.200000000000003
16,zach lavine,Milwaukee Bucks,34.394999999999996,28.4,5.6,4.6,34.0,33.0,10.2,38.6
9,ayo dosunmu,Milwaukee Bucks,35.39,9.3,3.2,3.1,12.5,12.4,6.300000000000001,15.600000000000001
7,demar derozan,Milwaukee Bucks,35.39,28.5,5.5,5.3,34.0,33.8,10.8,39.3
96,coby white,Milwaukee Bucks,23.48,11.6,2.1,2.3,13.7,13.899999999999999,4.4,15.999999999999998
83,javonte green,Milwaukee Bucks,26.475,8.6,4.5,1.2,13.1,9.799999999999999,5.7,14.299999999999999
14,nikola vucevic,Milwaukee Bucks,34.394999999999996,16.6,11.0,3.3,27.6,19.900000000000002,14.3,30.900000000000002
1,shai gilgeous-alexander,Minnesota Timberwolves,36.0,25.7,4.6,5.1,30.299999999999997,30.799999999999997,9.7,35.4
56,aleksej pokusevski,Minnesota Timberwolves,29.5,9.5,7.0,2.4,16.5,11.9,9.4,18.9
