,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
49,jakob poeltl,Atlanta Hawks,29.130000000000003,12.2,8.5,3.0,20.7,15.2,11.5,23.7
72,doug mcdermott,Atlanta Hawks,24.35,13.5,2.3,1.1,15.8,14.6,3.4,16.9
63,devin vassell,Atlanta Hawks,28.380000000000003,11.9,4.6,1.1,16.5,13.0,5.699999999999999,17.6
10,dejounte murray,Atlanta Hawks,34.435,19.0,7.9,9.5,26.9,28.5,17.4,36.4
21,keldon johnson,Atlanta Hawks,32.315,14.4,6.6,1.5,21.0,15.9,8.1,22.5
84,bones hyland,Boston Celtics,21.05,8.2,2.6,2.1,10.799999999999999,10.299999999999999,4.7,12.899999999999999
82,bryn forbes,Boston Celtics,21.994999999999997,10.3,1.2,1.1,11.5,11.4,2.3,12.6
81,austin rivers,Boston Celtics,21.990000000000002,5.6,1.3,0.9,6.8999999999999995,6.5,2.2,7.8
26,will barton,Boston Celtics,32.95,16.6,4.6,3.7,21.200000000000003,20.3,8.3,24.9
27,nikola jokic,Boston Celtics,32.925,20.9,13.5,7.3,34.4,28.2,20.8,41.7
32,aaron gordon,Boston Celtics,31.48,14.2,5.3,2.3,19.5,16.5,7.6,21.8
18,saddiq bey,Charlotte Hornets,32.825,14.3,5.8,3.2,20.1,17.5,9.0,23.3
55,cory joseph,Charlotte Hornets,25.415,7.9,2.5,4.1,10.4,12.0,6.6,14.5
30,jerami grant,Charlotte Hornets,31.314999999999998,20.1,5.0,3.0,25.1,23.1,8.0,28.1
69,frank jackson,Charlotte Hornets,22.32,9.9,1.4,0.8,11.3,10.700000000000001,2.2,12.100000000000001
77,killian hayes,Charlotte Hornets,23.22,5.1,2.1,3.6,7.199999999999999,8.7,5.7,10.799999999999999
41,isaiah stewart,Charlotte Hornets,29.515,9.0,11.0,0.9,20.0,9.9,11.9,20.9
61,jaden mcdaniels,Chicago Bulls,23.439999999999998,8.2,3.9,1.0,12.1,9.2,4.9,13.1
15,anthony edwards,Chicago Bulls,33.95,21.9,3.8,3.1,25.7,25.0,6.9,28.8
62,jarred vanderbilt,Chicago Bulls,25.925,6.3,8.7,1.6,15.0,7.9,10.299999999999999,16.6
39,d'angelo russell,Chicago Bulls,30.355,18.1,3.3,6.9,21.400000000000002,25.0,10.2,28.3
73,patrick beverley,Chicago Bulls,25.89,8.2,4.0,5.6,12.2,13.799999999999999,9.6,17.799999999999997
16,karl-anthony towns,Chicago Bulls,33.065,24.7,9.5,3.8,34.2,28.5,13.3,38.0
86,goga bitadze,Cleveland Cavaliers,20.3,5.6,5.3,0.0,10.899999999999999,5.6,5.3,10.899999999999999
65,duane washington jr.,Cleveland Cavaliers,23.369999999999997,8.9,1.6,1.6,10.5,10.5,3.2,12.1
37,chris duarte,Cleveland Cavaliers,32.915,15.1,4.3,2.4,19.4,17.5,6.699999999999999,21.8
44,grant williams,Denver Nuggets,24.425,6.3,3.0,0.7,9.3,7.0,3.7,10.0
19,jaylen brown,Denver Nuggets,33.785,21.5,5.7,3.1,27.2,24.6,8.8,30.3
28,al horford,Denver Nuggets,28.2,10.0,6.5,3.0,16.5,13.0,9.5,19.5
13,marcus smart,Denver Nuggets,32.935,12.5,3.9,5.9,16.4,18.4,9.8,22.299999999999997
11,jayson tatum,Denver Nuggets,34.975,21.8,7.8,3.6,29.6,25.400000000000002,11.4,33.2
22,robert williams,Denver Nuggets,31.935000000000002,11.5,8.9,1.4,20.4,12.9,10.3,21.8
47,p.j. washington,Detroit Pistons,27.509999999999998,10.2,6.1,1.3,16.299999999999997,11.5,7.3999999999999995,17.6
53,mason plumlee,Detroit Pistons,26.22,6.6,8.4,3.0,15.0,9.6,11.4,18.0
0,terry rozier,Detroit Pistons,37.885000000000005,21.5,4.9,4.9,26.4,26.4,9.8,31.299999999999997
1,miles bridges,Detroit Pistons,37.835,19.9,7.3,3.5,27.2,23.4,10.8,30.7
4,lamelo ball,Detroit Pistons,36.575,21.7,7.9,8.6,29.6,30.299999999999997,16.5,38.199999999999996
25,kelly oubre jr.,Detroit Pistons,32.15,20.6,4.3,1.1,24.900000000000002,21.700000000000003,5.4,26.000000000000004
67,cedi osman,Indiana Pacers,21.55,11.2,1.8,1.5,13.0,12.7,3.3,14.5
38,isaac okoro,Indiana Pacers,29.36,9.4,3.2,1.8,12.600000000000001,11.200000000000001,5.0,14.400000000000002
20,evan mobley,Indiana Pacers,34.265,13.3,6.8,1.9,20.1,15.200000000000001,8.7,22.0
29,jarrett allen,Indiana Pacers,31.55,15.1,11.1,1.9,26.2,17.0,13.0,28.1
85,caris levert,Indiana Pacers,22.025,12.3,2.4,2.8,14.700000000000001,15.100000000000001,5.199999999999999,17.5
66,kevin love,Indiana Pacers,23.52,13.1,6.9,2.0,20.0,15.1,8.9,22.0
42,coby white,Minnesota Timberwolves,28.935000000000002,14.1,2.6,2.4,16.7,16.5,5.0,19.1
7,zach lavine,Minnesota Timberwolves,35.305,28.1,5.9,4.8,34.0,32.9,10.7,38.8
6,ayo dosunmu,Minnesota Timberwolves,35.33,9.5,3.2,2.6,12.7,12.1,5.800000000000001,15.3
51,javonte green,Minnesota Timberwolves,28.880000000000003,8.8,6.0,1.4,14.8,10.200000000000001,7.4,16.200000000000003
8,nikola vucevic,Minnesota Timberwolves,34.305,18.5,12.6,3.5,31.1,22.0,16.1,34.6
3,demar derozan,Minnesota Timberwolves,35.805,25.6,4.8,5.6,30.400000000000002,31.200000000000003,10.399999999999999,36.0
5,tyrese maxey,Oklahoma City Thunder,36.754999999999995,15.6,3.5,5.1,19.1,20.7,8.6,24.2
48,matisse thybulle,Oklahoma City Thunder,28.89,5.9,2.7,1.1,8.600000000000001,7.0,3.8000000000000003,9.7
76,georges niang,Oklahoma City Thunder,22.72,9.5,2.9,1.2,12.4,10.7,4.1,13.6
79,danny green,Oklahoma City Thunder,21.54,6.1,2.5,0.8,8.6,6.8999999999999995,3.3,9.399999999999999
70,furkan korkmaz,Oklahoma City Thunder,21.895,8.1,2.4,1.9,10.5,10.0,4.3,12.4
2,tobias harris,Oklahoma City Thunder,36.879999999999995,19.8,8.3,3.6,28.1,23.400000000000002,11.9,31.700000000000003
23,joel embiid,Oklahoma City Thunder,33.035,28.6,12.0,3.6,40.6,32.2,15.6,44.2
75,shake milton,Oklahoma City Thunder,20.93,8.2,2.5,2.8,10.7,11.0,5.3,13.5
35,bojan bogdanovic,Orlando Magic,30.939999999999998,20.8,4.3,1.4,25.1,22.2,5.699999999999999,26.5
60,mike conley,Orlando Magic,27.6,14.7,2.9,5.2,17.599999999999998,19.9,8.1,22.799999999999997
57,jordan clarkson,Orlando Magic,27.09,14.7,3.7,2.3,18.4,17.0,6.0,20.7
31,donovan mitchell,Orlando Magic,32.655,23.7,4.7,5.0,28.4,28.7,9.7,33.4
45,royce o'neale,Orlando Magic,29.775,6.3,4.5,1.9,10.8,8.2,6.4,12.7
24,rudy gobert,Orlando Magic,32.325,17.1,15.3,1.1,32.400000000000006,18.200000000000003,16.400000000000002,33.5
36,darius bazley,Philadelphia 76ers,33.025,11.3,8.1,1.3,19.4,12.600000000000001,9.4,20.700000000000003
