,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
46,harrison barnes,Brooklyn Nets,32.91,17.9,6.2,2.5,24.099999999999998,20.4,8.7,26.599999999999998
16,de'aaron fox,Brooklyn Nets,34.9,21.6,4.2,4.8,25.8,26.400000000000002,9.0,30.6
104,maurice harkless,Brooklyn Nets,29.93,7.4,3.0,-0.0,10.4,7.4,3.0,10.4
101,justin holiday,Brooklyn Nets,27.92,11.4,2.4,1.7,13.8,13.1,4.1,15.5
5,domantas sabonis,Brooklyn Nets,34.9,20.4,12.3,6.0,32.7,26.4,18.3,38.7
105,donte divincenzo,Brooklyn Nets,21.95,8.7,3.2,1.9,11.899999999999999,10.6,5.1,13.8
95,davion mitchell,Brooklyn Nets,24.94,9.4,2.2,3.1,11.600000000000001,12.5,5.300000000000001,14.7
38,keldon johnson,Chicago Bulls,33.08,15.8,5.8,1.5,21.6,17.3,7.3,23.1
98,lonnie walker iv,Chicago Bulls,24.07,10.9,2.1,2.1,13.0,13.0,4.2,15.1
108,doug mcdermott,Chicago Bulls,25.06,13.8,2.5,1.1,16.3,14.9,3.6,17.4
3,dejounte murray,Chicago Bulls,35.08,19.9,8.3,9.8,28.2,29.7,18.1,38.0
114,joshua primo,Chicago Bulls,21.06,6.1,1.5,1.3,7.6,7.3999999999999995,2.8,8.899999999999999
63,devin vassell,Chicago Bulls,31.07,14.1,4.7,1.2,18.8,15.299999999999999,5.9,20.0
50,zach collins,Chicago Bulls,23.06,7.4,9.2,4.5,16.6,11.9,13.7,21.1
25,jakob poeltl,Chicago Bulls,30.07,14.0,8.9,2.8,22.9,16.8,11.7,25.700000000000003
26,wendell carter jr.,Denver Nuggets,32.99,16.4,10.1,2.5,26.5,18.9,12.6,29.0
24,mo bamba,Denver Nuggets,25.99,9.6,7.0,1.0,16.6,10.6,8.0,17.6
93,chuma okeke,Denver Nuggets,23.99,7.1,4.2,1.0,11.3,8.1,5.2,12.3
21,cole anthony,Denver Nuggets,33.99,17.5,5.5,6.8,23.0,24.3,12.3,29.8
112,gary harris,Denver Nuggets,27.99,10.0,1.8,1.5,11.8,11.5,3.3,13.3
29,jalen suggs,Denver Nuggets,31.99,13.9,4.0,5.1,17.9,19.0,9.1,23.0
54,franz wagner,Denver Nuggets,31.99,14.8,4.1,2.9,18.9,17.7,7.0,21.799999999999997
109,rui hachimura,Detroit Pistons,22.98,9.7,3.5,1.3,13.2,11.0,4.8,14.5
91,corey kispert,Detroit Pistons,29.98,11.1,4.0,1.1,15.1,12.2,5.1,16.2
67,raul neto,Detroit Pistons,27.98,9.9,2.7,3.9,12.600000000000001,13.8,6.6,16.5
84,ish smith,Detroit Pistons,23.98,4.6,2.3,4.6,6.8999999999999995,9.2,6.8999999999999995,11.5
9,kyle kuzma,Detroit Pistons,34.97,16.3,9.0,2.9,25.3,19.2,11.9,28.2
81,thomas bryant,Detroit Pistons,21.98,11.5,5.3,1.0,16.8,12.5,6.3,17.8
87,kentavious caldwell-pope,Detroit Pistons,29.98,12.2,3.2,2.0,15.399999999999999,14.2,5.2,17.4
86,deni avdija,Detroit Pistons,27.98,9.8,6.1,1.5,15.9,11.3,7.6,17.4
39,reggie jackson,Golden State Warriors,31.99,16.2,3.0,4.0,19.2,20.2,7.0,23.2
85,serge ibaka,Golden State Warriors,21.0,8.4,5.2,0.9,13.600000000000001,9.3,6.1000000000000005,14.5
66,ivica zubac,Golden State Warriors,25.99,9.0,8.2,1.1,17.2,10.1,9.299999999999999,18.299999999999997
69,terance mann,Golden State Warriors,30.0,9.2,4.5,2.2,13.7,11.399999999999999,6.7,15.899999999999999
71,luke kennard,Golden State Warriors,30.0,11.2,3.2,2.2,14.399999999999999,13.399999999999999,5.4,16.599999999999998
83,nicolas batum,Golden State Warriors,27.0,7.2,4.0,1.2,11.2,8.4,5.2,12.4
62,marcus morris,Golden State Warriors,27.99,15.0,4.5,1.4,19.5,16.4,5.9,20.9
103,robert covington,Golden State Warriors,24.0,5.6,3.6,0.8,9.2,6.3999999999999995,4.4,10.0
13,donovan mitchell,Houston Rockets,33.82,27.9,4.4,5.3,32.3,33.199999999999996,9.7,37.599999999999994
53,bojan bogdanovic,Houston Rockets,31.84,20.9,4.3,1.4,25.2,22.299999999999997,5.699999999999999,26.599999999999998
6,rudy gobert,Houston Rockets,31.89,19.3,15.0,1.1,34.3,20.400000000000002,16.1,35.400000000000006
92,royce o'neale,Houston Rockets,31.84,7.3,4.0,2.0,11.3,9.3,6.0,13.3
117,trent forrest,Houston Rockets,21.89,4.8,2.8,1.5,7.6,6.3,4.3,9.1
42,mike conley,Houston Rockets,29.65,15.3,3.0,6.4,18.3,21.700000000000003,9.4,24.700000000000003
48,jordan clarkson,Houston Rockets,26.81,17.3,3.3,2.3,20.6,19.6,5.6,22.900000000000002
79,jonathan kuminga,Los Angeles Clippers,26.95,13.5,5.2,0.0,18.7,13.5,5.2,18.7
44,andrew wiggins,Los Angeles Clippers,34.55,19.7,4.9,1.9,24.6,21.599999999999998,6.800000000000001,26.5
8,stephen curry,Los Angeles Clippers,34.93,26.8,5.8,6.3,32.6,33.1,12.1,38.9
97,jordan poole,Los Angeles Clippers,25.96,12.2,2.6,2.9,14.799999999999999,15.1,5.5,17.7
102,otto porter jr.,Los Angeles Clippers,22.96,8.2,5.6,1.3,13.799999999999999,9.5,6.8999999999999995,15.1
99,kevon looney,Los Angeles Clippers,23.96,7.5,8.8,1.8,16.3,9.3,10.600000000000001,18.1
34,klay thompson,Los Angeles Clippers,29.95,16.9,4.9,2.9,21.799999999999997,19.799999999999997,7.800000000000001,24.699999999999996
10,jusuf nurkic,Milwaukee Bucks,33.4,13.3,11.4,2.7,24.700000000000003,16.0,14.100000000000001,27.4
23,anfernee simons,Milwaukee Bucks,37.45,19.4,3.2,4.1,22.599999999999998,23.5,7.3,26.7
64,ben mclemore,Milwaukee Bucks,30.37,11.9,2.2,1.1,14.100000000000001,13.0,3.3000000000000003,15.2
33,justise winslow,Milwaukee Bucks,33.38,11.3,10.1,3.3,21.4,14.600000000000001,13.399999999999999,24.700000000000003
88,cj elleby,Milwaukee Bucks,28.32,8.3,6.7,-0.2,15.0,8.100000000000001,6.5,14.8
28,josh hart,Milwaukee Bucks,33.38,11.7,7.0,3.9,18.7,15.6,10.9,22.6
57,gary trent jr.,New Orleans Pelicans,34.72,15.2,2.0,1.8,17.2,17.0,3.8,19.0
31,og anunoby,New Orleans Pelicans,36.25,16.8,4.8,2.1,21.6,18.900000000000002,6.9,23.700000000000003
37,scottie barnes,New Orleans Pelicans,35.71,13.2,6.7,3.3,19.9,16.5,10.0,23.2
7,pascal siakam,New Orleans Pelicans,37.74,19.2,7.8,4.8,27.0,24.0,12.6,31.8
11,fred vanvleet,New Orleans Pelicans,38.74,21.3,4.7,6.7,26.0,28.0,11.4,32.7
76,derrick favors,New York Knicks,22.08,5.4,5.7,0.0,11.100000000000001,5.4,5.7,11.100000000000001
