,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
83,chris boucher,Brooklyn Nets,21.655,10.1,6.2,-0.0,16.3,10.1,6.2,16.3
84,khem birch,Brooklyn Nets,21.435000000000002,4.9,4.6,1.0,9.5,5.9,5.6,10.5
3,fred vanvleet,Brooklyn Nets,36.535,18.3,4.3,6.0,22.6,24.3,10.3,28.6
4,pascal siakam,Brooklyn Nets,36.835,22.5,8.8,5.5,31.3,28.0,14.3,36.8
77,thaddeus young,Brooklyn Nets,23.43,9.6,6.1,3.4,15.7,13.0,9.5,19.1
6,scottie barnes,Brooklyn Nets,35.64,15.0,7.7,3.1,22.7,18.1,10.8,25.8
10,gary trent jr.,Brooklyn Nets,34.4,17.7,2.7,1.6,20.4,19.3,4.300000000000001,22.0
85,wesley matthews,Charlotte Hornets,21.46,4.4,1.5,0.7,5.9,5.1000000000000005,2.2,6.6000000000000005
16,jrue holiday,Charlotte Hornets,34.435,18.1,4.7,7.0,22.8,25.1,11.7,29.8
34,bobby portis,Charlotte Hornets,31.34,18.3,10.6,1.0,28.9,19.3,11.6,29.9
13,khris middleton,Charlotte Hornets,34.435,21.5,6.2,6.1,27.7,27.6,12.3,33.800000000000004
15,giannis antetokounmpo,Charlotte Hornets,34.435,32.9,13.4,6.7,46.3,39.6,20.1,53.0
68,grayson allen,Charlotte Hornets,25.45,10.0,3.1,1.1,13.1,11.1,4.2,14.2
31,tyler herro,Chicago Bulls,32.485,20.1,4.1,2.9,24.200000000000003,23.0,7.0,27.1
54,p.j. tucker,Chicago Bulls,28.490000000000002,8.1,5.7,1.9,13.8,10.0,7.6,15.7
8,jimmy butler,Chicago Bulls,35.485,23.4,6.1,4.2,29.5,27.599999999999998,10.3,33.699999999999996
7,gabe vincent,Chicago Bulls,35.495000000000005,11.0,2.4,4.8,13.4,15.8,7.199999999999999,18.2
91,caleb martin,Chicago Bulls,20.5,7.3,3.1,0.6,10.4,7.8999999999999995,3.7,11.0
87,duncan robinson,Chicago Bulls,21.5,7.8,2.1,1.0,9.9,8.8,3.1,10.9
25,bam adebayo,Chicago Bulls,33.485,19.6,9.9,4.0,29.5,23.6,13.9,33.5
35,d'angelo russell,Cleveland Cavaliers,31.375,18.6,2.8,5.7,21.400000000000002,24.3,8.5,27.1
69,jaden mcdaniels,Cleveland Cavaliers,24.509999999999998,8.3,3.7,0.8,12.0,9.100000000000001,4.5,12.8
