,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
13,demar derozan,Atlanta Hawks,34.739999999999995,30.4,5.1,5.4,35.5,35.8,10.5,40.9
23,zach lavine,Atlanta Hawks,33.75,22.8,5.0,3.8,27.8,26.6,8.8,31.6
57,javonte green,Atlanta Hawks,26.365000000000002,6.8,4.6,0.9,11.399999999999999,7.7,5.5,12.3
18,nikola vucevic,Atlanta Hawks,33.75,15.9,11.1,3.7,27.0,19.6,14.8,30.700000000000003
71,coby white,Atlanta Hawks,23.380000000000003,11.0,2.2,2.4,13.2,13.4,4.6,15.600000000000001
12,ayo dosunmu,Atlanta Hawks,34.739999999999995,11.2,3.5,3.0,14.7,14.2,6.5,17.7
54,steven adams,Boston Celtics,26.765,5.1,10.1,2.8,15.2,7.8999999999999995,12.899999999999999,18.0
48,jaren jackson jr.,Boston Celtics,29.53,17.1,5.9,0.8,23.0,17.900000000000002,6.7,23.800000000000004
20,ja morant,Boston Celtics,33.769999999999996,25.7,5.3,5.7,31.0,31.4,11.0,36.699999999999996
76,ziaire williams,Boston Celtics,22.525,6.3,1.8,0.6,8.1,6.8999999999999995,2.4,8.7
35,desmond bane,Boston Celtics,31.82,16.1,4.1,1.8,20.200000000000003,17.900000000000002,5.8999999999999995,22.0
80,brandon clarke,Boston Celtics,22.525,11.4,6.7,1.3,18.1,12.700000000000001,8.0,19.400000000000002
89,de'anthony melton,Boston Celtics,20.509999999999998,9.0,4.0,2.1,13.0,11.1,6.1,15.1
14,jimmy butler,Brooklyn Nets,34.97,23.1,6.2,4.9,29.3,28.0,11.100000000000001,34.2
28,tyler herro,Brooklyn Nets,32.475,22.8,4.9,3.1,27.700000000000003,25.900000000000002,8.0,30.800000000000004
81,duncan robinson,Brooklyn Nets,21.485,9.4,2.5,1.1,11.9,10.5,3.6,13.0
59,p.j. tucker,Brooklyn Nets,26.509999999999998,7.1,5.6,2.0,12.7,9.1,7.6,14.7
87,max strus,Brooklyn Nets,21.509999999999998,8.2,2.6,1.0,10.799999999999999,9.2,3.6,11.799999999999999
29,gabe vincent,Brooklyn Nets,32.515,10.9,2.3,3.7,13.2,14.600000000000001,6.0,16.900000000000002
26,bam adebayo,Brooklyn Nets,33.475,17.2,9.2,3.1,26.4,20.3,12.299999999999999,29.5
9,de'andre hunter,Chicago Bulls,34.45,13.3,3.3,1.0,16.6,14.3,4.3,17.6
49,kevin huerter,Chicago Bulls,29.425,10.8,2.3,2.5,13.100000000000001,13.3,4.8,15.600000000000001
37,danilo gallinari,Chicago Bulls,31.685,14.8,6.3,1.6,21.1,16.400000000000002,7.9,22.700000000000003
42,clint capela,Chicago Bulls,30.369999999999997,11.9,13.2,1.3,25.1,13.200000000000001,14.5,26.4
4,trae young,Chicago Bulls,35.785,28.4,3.7,10.5,32.1,38.9,14.2,42.6
38,bogdan bogdanovic,Chicago Bulls,30.34,14.2,3.6,2.7,17.8,16.9,6.300000000000001,20.5
91,otto porter jr.,Dallas Mavericks,20.5,7.7,5.1,1.2,12.8,8.9,6.3,14.0
46,klay thompson,Dallas Mavericks,29.28,15.7,4.5,3.3,20.2,19.0,7.8,23.5
74,jordan poole,Dallas Mavericks,23.275,11.3,2.2,2.8,13.5,14.100000000000001,5.0,16.3
10,stephen curry,Dallas Mavericks,34.614999999999995,23.3,4.6,5.4,27.9,28.700000000000003,10.0,33.300000000000004
82,gary payton ii,Dallas Mavericks,21.5,8.1,3.4,1.0,11.5,9.1,4.4,12.5
86,jonathan kuminga,Dallas Mavericks,21.5,10.1,3.4,-0.0,13.5,10.1,3.4,13.5
21,andrew wiggins,Dallas Mavericks,33.43,16.8,4.0,2.1,20.8,18.900000000000002,6.1,22.900000000000002
69,kevon looney,Dallas Mavericks,23.505000000000003,6.8,8.0,1.6,14.8,8.4,9.6,16.4
77,thaddeus young,Detroit Pistons,22.54,8.3,5.3,2.5,13.600000000000001,10.8,7.8,16.1
